"name","text"
"heyheyman","@JetBlue Can't view seat selection/change seat for flight tomorrow. Can you look into this?"
"mal0877","@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However your inflight wifi is no better today than it was 4 years ago."
"RichieGlod","@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?"
"DAngel082","@USAirways  thanks I hope I get to my destination"
"BBahreman","@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul."
"JessonaJourney","@JetBlue Thank you!"
"richardkerris","@united Bad coffee but the juice is ok. #GetPhilz @ United Terminal SFO Airport http://t.co/Sg7IQqFVsO"
"northerninsgr","@USAirways please give Tara G a pat on the back and praise.  She was very very helpful.  She is at PHL member lounge"
"kbosspotter","@JetBlue I have a internal bleed in my foot and I am flying next Tuesday what should I. Do :( these. Leeds come randomly. I"
"city2countryTN","@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?"
"gigirey1","@JetBlue thank you!! Miss you all so so much!! Is this the link to the blog? Or has that changed?"
"laura_crom","@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1)"
"alvintylaw","@united did not let me get on the IAH-HNL direct. Now weather delay for my SFO leg. Stop being reactive and be proactive!"
"BritishAirNews","@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Daily Journal http://t.co/w8MTmSP2RY"
"MakebaMakeba","@JetBlue oh hell no. I'm not waiting again to get hung up on after speaking to 2 #rudeservice people"
"laura_crom","@USAirways on your website and on your boards at Logan it said it was on time so we went through security and got to the gate (2)"
"Champa24","@USAirways no we haven't because we've been in the same line at the service desk for an 1hr and 1/2 now in the same spot."
"jcfly123","@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?"
"Todd1HHD","@VirginAmerica was wondering if you guys recieved my dm and we're able to potentially respond asap"
"SkySmiles737","@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500"
"TheTaxDiva","@USAirways I did and it's been a disaster. You had me sitting on the runway only to bring the plane back to the gate smh"
"kbosspotter","@JetBlue no I am fine to fly! Haha they come at random with the hemophilia but what if i need extra assistance"
"TheTaxDiva","@USAirways you have the ability to switch my flight to @AmericanAir but you cannot tell me where my bags are."
"TheTaxDiva","@USAirways I expect something more than telling me to see an agent to rebook my flight..."
"TheTaxDiva","@USAirways your customer service is horrible"
"onestitchshort","@SouthwestAir Flight Cancelled Flightled reFlight Booking Problems online has not worked on my second round of hold (3 hrs now). Any other options?"
"deantak","@SouthwestAir sent"
"MakebaMakeba","@JetBlue busy due to storm but customer service should always be on point. More so now than ever #getittogether"
"laura_crom","@USAirways and it still says it's on time on your website btw"
"AlexRolek","@USAirways been trying to talk with a dividend miles rep for 2 days now. I have been holding for over 2 hours each day. What are my options?"
"itsjustdoc","@USAirways thank you for blowing my vacation. Couldn't get me anywhere today to make my reservation and also lost 2 bags of mine!"
"matthewhyah","@SouthwestAir I've been on hold for an hour now. 59:57 as I type this. Ridiculous! All I need is the link to the chart that has routes time"
"imayfan","@USAirways thanks"
"CWWMUK","@united Filled in the form you sent the link to on 29.1.15 and then either 9 or 10.2.15"
"LucyALloyd","@USAirways No kidding. Oy."
"MakebaMakeba","@JetBlue my request has nothing to do with rescheduling. But customer service has such a bad attitude today. #badservice"
"itsjustdoc","@USAirways no warm weather hubs means no Mexico for us.  And I can't go anywhere else since you lost my bags. I hope you attempt to rectify"
"laurenaddell","@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!"
"Jamayka","@USAirways tried twice today on hold for 30 min each time. i have things to do so can't live on hold dealing w/ your customer serv failures"
"mchooyah","@united Thank you for the new Club at O'Hare. Very comfortable. You made the difficult weather days proficient and enjoyable."
"portugrad","@USAirways Thanks for the info but have been trying for over 24hrs and no luck. Flight dep. Today. Need 2 change 2 tomorrow or Thursday"
"itsjustdoc","@USAirways I didn't even leave the airport and you sent 2 of my bags to Philadelphia!"
"eguroff","@SouthwestAir have you considered adding the ""we'll call you back when we have someone free"" feature to your support line?"
"napsareforkids","@united all day travel. #swag #ijustwanttosleep"
"meracross","@united's first-class #cockup http://t.co/oh7CFv7DHR"
"ShiningLghtPE","@USAirways will do. Hoping for a voucher for a future flight #Optimistic"
"TullamoreEims","@USAirways This is dating back to Nov. I have been sent back and forth between you and @eDreams_en. It's a disgrace."
"CanadianCowgirl","@united Gold Star for united- change my flight- miss all connections- but can't accommodate me until a MUCH Late Flightr arrival time-Not HAPPY!"
"ClassyMalick","@JetBlue @EllaHenderson omg!  Wish I had a flight today!  Haha there's always next time!  Have fun at #LFT5"
"TJGoertz","@SouthwestAir Trying to get through by phone to confirm that funds from a Cancelled Flightled reservation can still be used in the future. Can u help?"
"DAngel082","@USAirways  to arrive the plane I'm sitting on needs to take off...wish someone would tell us what the holdup is"
"BhutanOrient","@united actually we did not consider she might have made a mistake. She did not complain beyond that she indicated it on her reservation."
"elliemybellie","@SouthwestAir injured at check in yesterday. U told me to go to dr. on hold with SWA for over hour trying to talk with someone. suggestions?"
"applecor2","@united sat at airport for 5 hrs still sitting at gate..  Sigh"
"blackrivervaper","@SouthwestAir just disconnected my call after 2.5 hours without even speaking to me. #octaviannightmare"
"Kyle_Clarke528","@USAirways want to bump up my seet to first class for two Cancelled Flightlations in 24hrs?? what a joke"
"mal0877","@SouthwestAir thank you. I was given this same reply 2 years ago. Can you direct me to an area I can learn more about the improvements?"
"theokatzman","@SouthwestAir any chance of adding LAX-&gt;JFK direct any time in the future?"
"MiKasuga","@united No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business."
"heykaitlinmary","@JetBlue Hopefully next time! Can I send you my future itineraries so the next one can be planned when I'm there? 😂😂"
"BhutanOrient","@united +what took me aback was the response by the flight attendant who put the responsibility squarely back on passenger's shoulders. +"
"NMSpedaliere","@JetBlue she was a phone agent pls do! Peggy was pleasant informative and delivered. ⭐️⭐️⭐️⭐️⭐️"
"tamajared","@USAirways The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?"
"BhutanOrient","@united BTW is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation? +"
"AndreybohdanY","@USAirways That is not an excuse to have such a poor website Flight Booking Problems options! My yearly vacation is about to fall through ubetter do smth!"
"JasonPlizga","@USAirways flight #3900 fro ORF to PHL."
"challemann","@SouthwestAir Got it thanks. Any insight into what will happen tomorrow?"
"BhutanOrient","@united + that's the gist of what the flight attendant told her."
"iBrianWeaver","@SouthwestAir I've been on hold for an hour &amp; a half trying to change my flight to BNA. Not very happy with customer service right now!!!!!!"
"leighericam","@JetBlue well lucky I only fly JB..I guess I would be even more squished on any other airline 😞"
"ceowens5","@USAirways still crickets from customer service."
"ClaudiaStClair","@united I appreciate the follow up."
"jsumiyasu","@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!"
"alsonmusical","@JetBlue Got flight reschedule to flight form PIT to FLL and our flight had mechanical problems so we were delayed an hour Missed my connect"
"simuLate Flightthis","@USAirways Flight 2069 from JFK to Charlotte then 3750 from Charlotte to Birmingham. 2 previous flights to HSV were Cancelled Flightled."
"BhutanOrient","@united no worries about the tweets. We all should do what we can to make sure we as in your tag line ""Fly the Friendly Skies."""
"Loley9","@SouthwestAir been on hold for over an hour.....not cool you guys."
"simuLate Flightthis","@USAirways Now I am probably going to miss my connection in Charlotte so I will have to drive home for the funeral."
"Darshan7Patel","@JetBlue I do not want to deal with your customer service agents with no practical knowledge.Provide me with a direct contact."
"thegayngler","@JetBlue Ok great thanks! I had a great flight FYI. I'm excited to fly again. I just was frustrated I was not able to check in."
"alsonmusical","@JetBlue should i continue?"
"KayyRahh_xo","@SouthwestAir disappointed with customer service right now my flight was only one Cancelled Flightled at my airport &amp; now I'm losing 2 days from trip"
"JasenVinlove","@SouthwestAir could you tell me if any upgrades are available on a flight out of STL tomorrow morning."
"joepalko","@SouthwestAir damn weather messing up everything #serenitynow"
"laurenproberts","@SouthwestAir - any update on flights in to BNA today?"
"SeanHerwaldt",".@united we rebooked. But @casleah and I had to split up and take different flights because a pilot ran out of hours? Frustrating."
"MrDavidLombardi","@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!"
"Dazoulai","@USAirways Why is there no contact email for customer complaints?"
"indystevens","@USAirways hundreds of people in line and less than half the desks being manned at CLT. Help?"
"portugrad","@USAirways I can't believe that you would refer me to a number no one seems to be getting through. Really? I need help ASAP!"
"seattleprime","@JetBlue @EllaHenderson Ah! Wish I was there! Good luck!"
"erickofiejones","@USAirways I was completely ripped of by US Airways today never fly this airline  I am contacting my local news"
"BhutanOrient","@united + besides no small degree of self-interest. We take that route several times a year &amp; would hate to be in that situation."
"emilymcnulty","@JetBlue why is my flight delayed 2.5 hours. This is insane. Every other flight has made it to NYC."
"mosesfreund","@united i need my confirmation number! Can you give it to me?"
"81FSUnole",". @SouthwestAir condescension must be a quality your co rewards. Your tone reeks of it"
"erickofiejones","@USAirways They charged me for a flight they Cancelled Flightled unbelievable and unheard of"
"shannonhannon","@united Step 1: Cancelled Flight flight. Step 2: Don't notify customer. Step 3: Charge them for food while they try to survive their wait. Brilliant."
"Jamayka","@USAirways when I call it says y'all are too busy and to call back Late Flightr.  this is terrible customer service.  what will you do about it?"
"portugrad","@USAirways How can I change without penalty and not have to call customer service"
"BhutanOrient","@united @FlyANA_official pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights planes and service"
"Vinny_Espinosa","@JetBlue unfortunately no but hoping I can catch one sometime in the near future!"
"erickofiejones","@USAirways Just contaced EYEWITNESS NEWS about the ripoff the Cancelled Flighted now they want me to pay"
"KatieAmmon","@SouthwestAir I need to reschedule a flight and I've been on hold for almost an hour. This is ridiculous. Is there a best number to call?"
"chaseagiles","@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈"
"Masterpeacefull","@SouthwestAir @challemann flying to LGA in the dead of winter? #jvstatus EWR &amp; JFK is always the intelligent option."
"BhutanOrient","@united + UA has been rolling out improvements too we think. Hoping they'll catch up soon? Meantime ANA is our preference!"
"andicrawford",".@SouthwestAir you've got a mess here at DTW but your staff is doing great."
"waytogopdx","@VirginAmerica still waiting to see  @Starryeyes_Dev_  😞"
"erickofiejones","@USAirways I need someone from management to contact me I was flying to a funeral won't make it now to add to my pain they want me 2 pay"
"AndrewBarco1","@united feck guys. Stop Cancelled Flightling flights from EWR to RIC the weather is fine I both locations!!!"
"KatieAmmon","@SouthwestAir F5R3ZZ"
"lauras_music","@USAirways Im researching a flight &amp; noticed a small issue w/class of service between your site &amp; other sites. Could Reservations help me?"
"BhutanOrient","@united that's what I thought! Thanks for the clarification!"
"cristalyze","@USAirways &amp; there are seats together they just have fees. Seems if I'm taking a 5am flight the least you can do is wave the $10."
"mac8315","@united dropped off a luggage at IAD over 2 months ago for repair from damages haven't heard anything about it since when do I get it back?"
"StarkTTT","@SouthwestAir I'm trying to change a family vacation due to Measles outbreak and haven't been able to get anyone on the phone. Any help?"
"BritishAirNews","@JetBlue's CEO Battles to Appease Passengers and Wall Street - http://t.co/frrfxCCw7Z http://t.co/nKlW9SsVRQ"
"DaxJeter","@SouthwestAir I am but it says yall are sold out. Me &amp; My coworkers would need to get out first available"
"jjenreich","@SouthwestAir no flights out of #nashville today? Are you kidding me?!?! Why are other airlines flying and you're not?! So frustrated!!"
"JimmyCarrigan85","@SouthwestAir I noticed the rates increased a few days ago or the promotion ended. Any idea when another promotion will be coming?? Thanks!"
"mnardini1","@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc"
"kforbriger","@SouthwestAir its all good. flight eventually took off and landed safely. oh and I got the free cup o wine. thx"
"StarkTTT","@SouthwestAir sure. Fhk2te. Am scheduled to leave this weekend but need to push to October"
"StarkTTT","@SouthwestAir and thanks!"
"alsonmusical","@JetBlue they are rude and unhelpful. They suggested I catch a flight tomorrow I was supposed to be home today at 2 am and work is waiting"
"thegayngler","@JetBlue Seems very likely."
"AirTraffic101","@SouthwestAir landing early morning @BWI_Airport after snowfall. http://t.co/apRZsPxigE"
"stephbahnie","@united roundtrip tickets to NJ are DRAMATICALLY cheaper through Virgin pretty pricey via United. Can you match them?"
"caralageson","@SouthwestAir 45mins wait on the phone with no option for a callback? Finally had to hang up because my phone was dying. #customerservice"
"leahennessy","@SouthwestAir why are flights still getting out of Logan now? You couldn't manage to get one out at 6 AM when it wasn't snowing!"
"alsonmusical","@JetBlue already spent $300 to stay at hotel last night due to you guys rescheduling my flight. Since my Cancelled Flightation I've spent almost $500"
"rajuchinthala","Thx! Stand by! “@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH”"
"etachoir","@southwestair Thanks. Yes I got through. Biggest frustration is that I'm no longer able to check in online for my flight after 4 Cancelled Flights."
"alsonmusical","@JetBlue and they are telling me I got to get another hotel and food...so spend more money because you guys made me miss my connection"
"leahennessy","@SouthwestAir I also find it ridiculous that I've been tweeting to you since 3:50 AM EST and have still received no response. 9 hours?"
"TaiScott11","@USAirways I booked a flight yesterday but didnt receive an email confirmation and I my dividends number isn't registering. Please help."
"clements221","@SouthwestAir can you follow me? Flight Cancelled Flightled can't rebook online been on hold for 2 hours.  Would love to DM flight info. Thank you."
"DaxJeter","@SouthwestAir myself and 2 others"
"PHopNy","@JetBlue I did...#FlyFi worked well and was free aboard this flight"
"Aeisinger","@united you better hold my flight to Tucson #5237 just landed in Houston after an hour delay for some minor computer problem"
"ljsbrooks","@united I was denied use of a rear facing car seat on UA5025 an ERJ145. Can you confirm the actual policy?"
"DaxJeter","@SouthwestAir the 5:50 is sold out too?"
"clements221","@SouthwestAir Thank you.  Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter?"
"clements221","@SouthwestAir Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter? thanks you."
"bradleycfox","@USAirways will my known traveler no. transfer over from @AmericanAir ? when I check in at t-24 as an AA elite I can get choice seats?"
"Bkloomer","@SouthwestAir Karen with customer service was very helpful. Thank you for providing one bright spot in a frustrating situation."
"joepalko","@SouthwestAir you guys are awesome... #dontchangeathing #luv"
"KristinKlutz","@USAirways I left my son's Duke hat on flight #1761 last night. It says ""Mason"" on the back. Any way of locating it? Thanks in advance!"
"lquintalnh","@JetBlue thanks!! Great service in #T5 already! #lovejetBlue"
"Trizzy412","@united thank you!!!!! And next flight to Durango then driving to Farmington New Mexico for work! But hitting the slopes in Durango!"
"Buttercup1121","@JetBlue tough choices but I did all simultaneously! As a business traveler best experience in a long time. #wishmyflightwaslonger #what"
"aaronkivett","@SouthwestAir @gruber Finally."
"harrngtn","@SouthwestAir Finally! Integration w/ passbook is a great Valentine gift - better then chocoLate Flight. You do heart me."
"asepopo","@SouthwestAir about time! Thank you!"
"MzQdotFore","@SouthwestAir is having a sale! I'm delighted!"
"taesaunt24","@SouthwestAir any idea on flights to Nashville tomorrow being clear or Cancelled Flightled"
"XTREMELYSERIOUS","@SouthwestAir @NotPghTimothy no exceptions for national awards?"
"brenttaylor","@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ"
"BlueOceanTweets","@United Is Changing Its #MileagePlus Program: Winners and Losers http://t.co/38OTLzAK5d #airline #travel #loyalty #rewards"
"Champa24","@USAirways any tips on getting a hotel that your airline won't get for any of us even though we were told that we'd make our flight?"
"MelodyKho","@united Confirmation number: NJV4BP - All I need is email confirmation of flight from NYC - SFO Feb 4"
"WWJAYD","@VirginAmerica morning. If I have a question regarding elevate points &amp; flights can I DM you?"
"oheyjasmine","@JetBlue Been dealing with a Cancelled Flightled flight since last night &amp; was booked to a 6:15 flightwouldve at least liked to see Ella perform lol"
"ColtSTaylor","@united of course I need help.  I've been DMing you ladies and gents all day. Your only solution is hope for the best and LAX."
"ryan_kravontka","@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome"
"rakerr","@united I normally ask people to put on headphones...but not toddlers. Maybe planes should have a ""kid"" section (near the back) ;)"
"itsjustdoc","@USAirways it's not a consolation because my bags are somewhere else which is a real impediment to me going on a different vacation"
"loungesong","@VirginAmerica Are there any sign up bonuses to enroll in Elevate?"
"DustinSoper","@SouthwestAir Hi! Thanks! Do you have an exact link to that specific page on your site you can share - or is it under ""Flight Status"":? Thx!"
"iSocialFanz","@JetBlue huge fan of great brands and people doing great things… you guys rock happy to share the love!"
"ColtSTaylor","@united I somehow think I'm going to be stuck paying for a hotel room in Denver without winter clothes on my dime.  I guess we'll see."
"Kyle_Clarke528","@USAirways missing my reservations due to a Cancelled Flightled flight. Make it right by giving me first class tomorrow. Make your customers happy."
"PaytonTaylor129","@SouthwestAir LUV Ya Too!!!!  I will sing a song for y'all when I finally get on that plane back to Nashville!!! #LOVESOUTHWESTAIR"
"texasjuls","@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡"
"aries83861","@united Is there a way to get  a copy of Feb's edition of Hemisphere magazine with out flying?"
"DustinSoper","@SouthwestAir Thanks a ton!"
"susanpaint","@SouthwestAir I need to request a refund on my flight that was Cancelled Flightled this morning due to the weather."
"mosesfreund","@united costumer service sucks! Waiting for a week for a response"
"beccalauren2011","@SouthwestAir Trying to add my dog on the flight but can't get through."
"ALHphoto","@USAirways issues are not with people who r nice or storm emails with wrong phone numbers auto rebooked flights to non connecting cities"
"elliotg9","@united spending the afternoon @ Mia. Not your fault.  No lounge? Very inconvenient."
"jrrodrig57","@united Miserable trip ... lost bag Sat... found Mon... lost again... shipping 2nd day ground Tues... might have it for return flight home"
"rfogarty41","@united is Late Flight again.  Everyone braved the weather and 40 passengers are waiting for a flight crew.  Really!"
"JenSpnSuperstar","@united my mother's flight was delayed from phl-ord. We're on our way to NRT and the gate refused to upgrade. A platinum.  Blegh"
"JKrace45","@USAirways is there any way that you could hold flight 628 in CLT my husband is stuck in the security check line. flight scheduled for 1PM"
"ALHphoto","@USAirways cust serv reps who are unable to change reservations in your system Check in unaware of Cancelled Flights that I got word on night before"
